# 简名 → 完整包路径对照表（写 import 时查这个）
# 共 9331 个简名，同名类用 | 分隔

AABB	net.minecraft.world.phys.AABB
AmbientMoodSettings	net.minecraft.world.attribute.AmbientMoodSettings
AmbientParticle	net.minecraft.world.attribute.AmbientParticle
AmbientSoundHandler	net.minecraft.client.resources.sounds.AmbientSoundHandler
AmbientSounds	net.minecraft.world.attribute.AmbientSounds
AmethystBlock	net.minecraft.world.level.block.AmethystBlock
AmethystClusterBlock	net.minecraft.world.level.block.AmethystClusterBlock
AmphibiousNodeEvaluator	net.minecraft.world.level.pathfinder.AmphibiousNodeEvaluator
AmphibiousPathNavigation	net.minecraft.world.entity.ai.navigation.AmphibiousPathNavigation
AncientCityStructurePieces	net.minecraft.data.worldgen.AncientCityStructurePieces
AncientCityStructurePools	net.minecraft.data.worldgen.AncientCityStructurePools
AngerLevel	net.minecraft.world.entity.monster.warden.AngerLevel
AngerManagement	net.minecraft.world.entity.monster.warden.AngerManagement
AngerManagement$1	net.minecraft.world.entity.monster.warden.AngerManagement$1
AngerManagement$Sorter	net.minecraft.world.entity.monster.warden.AngerManagement$Sorter
AngleArgument	net.minecraft.commands.arguments.AngleArgument
AngleArgument$SingleAngle	net.minecraft.commands.arguments.AngleArgument$SingleAngle
Animal	net.minecraft.world.entity.animal.Animal
AnimalMakeLove	net.minecraft.world.entity.ai.behavior.AnimalMakeLove
AnimalPanic	net.minecraft.world.entity.ai.behavior.AnimalPanic
AnimationChannel	net.minecraft.client.animation.AnimationChannel
AnimationChannel$Interpolation	net.minecraft.client.animation.AnimationChannel$Interpolation
AnimationChannel$Interpolations	net.minecraft.client.animation.AnimationChannel$Interpolations
AnimationChannel$Target	net.minecraft.client.animation.AnimationChannel$Target
AnimationChannel$Targets	net.minecraft.client.animation.AnimationChannel$Targets
AnimationDefinition	net.minecraft.client.animation.AnimationDefinition
AnimationDefinition$Builder	net.minecraft.client.animation.AnimationDefinition$Builder
AnimationFrame	net.minecraft.client.resources.metadata.animation.AnimationFrame
AnimationMetadataSection	net.minecraft.client.resources.metadata.animation.AnimationMetadataSection
AnimationState	net.minecraft.world.entity.AnimationState
AnimationUtils	net.minecraft.client.model.AnimationUtils
AnvilBlock	net.minecraft.world.level.block.AnvilBlock
AnvilMenu	net.minecraft.world.inventory.AnvilMenu
AnvilScreen	net.minecraft.client.gui.screens.inventory.AnvilScreen
AnyBlockInteractionTrigger	net.minecraft.advancements.criterion.AnyBlockInteractionTrigger
AnyBlockInteractionTrigger$TriggerInstance	net.minecraft.advancements.criterion.AnyBlockInteractionTrigger$TriggerInstance
AnyOfCondition	net.minecraft.world.level.storage.loot.predicates.AnyOfCondition
AnyOfCondition$Builder	net.minecraft.world.level.storage.loot.predicates.AnyOfCondition$Builder
AnyOfPredicate	net.minecraft.world.level.levelgen.blockpredicates.AnyOfPredicate
AnyValue	net.minecraft.core.component.predicates.AnyValue
AppendLoot	net.minecraft.world.level.levelgen.structure.templatesystem.rule.blockentity.AppendLoot
AppendStatic	net.minecraft.world.level.levelgen.structure.templatesystem.rule.blockentity.AppendStatic
ApplyBonusCount	net.minecraft.world.level.storage.loot.functions.ApplyBonusCount
ApplyBonusCount$BinomialWithBonusCount	net.minecraft.world.level.storage.loot.functions.ApplyBonusCount$BinomialWithBonusCount
ApplyBonusCount$Formula	net.minecraft.world.level.storage.loot.functions.ApplyBonusCount$Formula
ApplyBonusCount$FormulaType	net.minecraft.world.level.storage.loot.functions.ApplyBonusCount$FormulaType
ApplyBonusCount$OreDrops	net.minecraft.world.level.storage.loot.functions.ApplyBonusCount$OreDrops
ApplyBonusCount$UniformBonusCount	net.minecraft.world.level.storage.loot.functions.ApplyBonusCount$UniformBonusCount
ApplyEntityImpulse	net.minecraft.world.item.enchantment.effects.ApplyEntityImpulse
ApplyExhaustion	net.minecraft.world.item.enchantment.effects.ApplyExhaustion
ApplyExplosionDecay	net.minecraft.world.level.storage.loot.functions.ApplyExplosionDecay
ApplyMobEffect	net.minecraft.world.item.enchantment.effects.ApplyMobEffect
ApplyStatusEffectsConsumeEffect	net.minecraft.world.item.consume_effects.ApplyStatusEffectsConsumeEffect
AquaticFeatures	net.minecraft.data.worldgen.features.AquaticFeatures
AquaticPlacements	net.minecraft.data.worldgen.placement.AquaticPlacements
Aquifer	net.minecraft.world.level.levelgen.Aquifer
Aquifer$1	net.minecraft.world.level.levelgen.Aquifer$1
Aquifer$FluidPicker	net.minecraft.world.level.levelgen.Aquifer$FluidPicker
